Sat Mar  7 22:59:39 2020 | [m]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sat Mar  7 22:59:45 2020 | [m]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sat Mar  7 22:59:47 2020 | [!]Dobio sam poruku od 192.168.1.5, mirko, 4 bajta
Sat Mar  7 22:59:51 2020 | [!]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sat Mar  7 22:59:53 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sat Mar  7 22:59:54 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sat Mar  7 23:30:39 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sat Mar  7 23:30:41 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 3 bajta
Sat Mar  7 23:30:44 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 7 bajta
Sat Mar  7 23:30:45 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sat Mar  7 23:31:49 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sat Mar  7 23:31:50 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 2 bajta
Sat Mar  7 23:31:54 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sat Mar  7 23:31:58 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:23:27 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 11:23:39 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 11:23:43 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 11:23:50 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 11:23:55 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 11:23:58 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:23:58 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:31:46 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 11:31:53 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 11:31:59 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 10 bajta
Sun Mar  8 11:32:04 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 17 bajta
Sun Mar  8 11:32:10 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 11:35:48 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 11:35:54 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 11:35:54 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 11:35:59 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 11:36:09 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 13 bajta
Sun Mar  8 11:36:26 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 6
Sun Mar  8 11:36:28 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 4 bajta
Sun Mar  8 11:36:34 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 19 bajta
Sun Mar  8 11:36:51 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 31 bajta
Sun Mar  8 11:36:53 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:36:53 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:36:54 2020 | [-]Klijent: mirko, fd->6, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:53:51 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 11:54:03 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 11:54:04 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 4 bajta
Sun Mar  8 11:54:08 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 5 bajta
Sun Mar  8 11:54:13 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 14 bajta
Sun Mar  8 11:54:18 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 12 bajta
Sun Mar  8 11:54:22 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 11:54:23 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:15:16 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:15:23 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:16:22 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:16:32 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:16:34 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 1 bajta
Sun Mar  8 12:16:36 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 5 bajta
Sun Mar  8 12:16:41 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 18 bajta
Sun Mar  8 12:16:48 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 15 bajta
Sun Mar  8 12:16:57 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:16:57 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:26:56 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:27:08 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
Sun Mar  8 12:27:10 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:11 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:12 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 9 bajta
Sun Mar  8 12:27:15 2020 | [m]Dobio sam poruku od 192.168.1.5, mirko, 11 bajta
Sun Mar  8 12:27:17 2020 | [-]Klijent: mirko, fd->4, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:27:19 2020 | [-]Klijent: mirko, fd->5, ip->192.168.1.5 je prekinuo konekciju
Sun Mar  8 12:28:17 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 4
Sun Mar  8 12:28:24 2020 | [!]Prihvacena konekcija klijent: mirko, 192.168.1.5, 5
